Stock,Date,Close
META,01-29-2015,$78.00
META,01-28-2015,$76.24
META,01-27-2015,$75.78
META,01-26-2015,$77.495
META,01-23-2015,$77.83
META,01-22-2015,$77.65
META,01-21-2015,$76.74
META,01-20-2015,$76.24
META,01-16-2015,$75.18
META,01-15-2015,$74.05
META,01-14-2015,$76.28
META,01-13-2015,$76.45
META,01-12-2015,$76.72
META,01-09-2015,$77.74
META,01-08-2015,$78.175
META,01-07-2015,$76.15
META,01-06-2015,$76.15
META,01-05-2015,$77.19
META,01-02-2015,$78.45
META,12-31-2014,$78.02
META,12-30-2014,$79.22
META,12-29-2014,$80.02
META,12-26-2014,$80.775
META,12-24-2014,$80.77
META,12-23-2014,$80.61
META,12-22-2014,$81.45
META,12-19-2014,$79.88
META,12-18-2014,$78.40
META,12-17-2014,$76.11
META,12-16-2014,$74.69
META,12-15-2014,$76.99
META,12-12-2014,$77.83
META,12-11-2014,$77.73
META,12-10-2014,$76.18
META,12-09-2014,$76.84
META,12-08-2014,$76.52
META,12-05-2014,$76.36
META,12-04-2014,$75.24
META,12-03-2014,$74.88
META,12-02-2014,$75.46
META,12-01-2014,$75.10
META,11-28-2014,$77.70
META,11-26-2014,$77.62
META,11-25-2014,$75.63
META,11-24-2014,$74.01
META,11-21-2014,$73.75
META,11-20-2014,$73.60
META,11-19-2014,$73.33
META,11-18-2014,$74.34
META,11-17-2014,$74.24
META,11-14-2014,$74.88
META,11-13-2014,$74.25
META,11-12-2014,$74.72
META,11-11-2014,$74.61
META,11-10-2014,$75.00
META,11-07-2014,$75.60
META,11-06-2014,$75.26
META,11-05-2014,$74.83
META,11-04-2014,$75.76
META,11-03-2014,$73.88
META,10-31-2014,$74.99
META,10-30-2014,$74.11
META,10-29-2014,$75.86
META,10-28-2014,$80.77
META,10-27-2014,$80.28
META,10-24-2014,$80.67
META,10-23-2014,$80.04
META,10-22-2014,$78.37
META,10-21-2014,$78.69
META,10-20-2014,$76.95
META,10-17-2014,$75.95
META,10-16-2014,$72.63
META,10-15-2014,$73.21
META,10-14-2014,$73.59
META,10-13-2014,$72.99
META,10-10-2014,$72.91
META,10-09-2014,$75.91
META,10-08-2014,$77.52
META,10-07-2014,$76.29
META,10-06-2014,$77.555
META,10-03-2014,$77.44
META,10-02-2014,$77.08
META,10-01-2014,$76.55
META,09-30-2014,$79.04
META,09-29-2014,$79.00
META,09-26-2014,$78.79
META,09-25-2014,$77.22
META,09-24-2014,$78.535
META,09-23-2014,$78.29
META,09-22-2014,$76.80
META,09-19-2014,$77.91
META,09-18-2014,$77.00
META,09-17-2014,$76.43
META,09-16-2014,$76.08
META,09-15-2014,$74.58
META,09-12-2014,$77.48
META,09-11-2014,$77.92
META,09-10-2014,$77.43
META,09-09-2014,$76.67
META,09-08-2014,$77.89
META,09-05-2014,$77.26
META,09-04-2014,$75.95
META,09-03-2014,$75.83
META,09-02-2014,$76.68
META,08-29-2014,$74.82
META,08-28-2014,$73.855
META,08-27-2014,$74.63
META,08-26-2014,$75.9601
META,08-25-2014,$75.02
META,08-22-2014,$74.57
META,08-21-2014,$74.57
META,08-20-2014,$74.81
META,08-19-2014,$75.29
